word,frequencies
placerat,1
sit,7
neque,5
Duis,2
aliquet,2
Vivamus,4
pretium,2
vestibulum,1
Interdum,1
amet,7
nisl,3
eu,6
Aliquam,1
nulla,6
nec,4
vulputate,2
vitae,4
Quisque,2
congue,3
a,7
Donec,4
ac,3
scelerisque,3
accumsan,1
Sed,2
egestas,1
interdum,4
urna,2
nibh,3
aliquam,1
ex,4
dolor,3
at,7
metus,5
habitasse,1
dictumst,1
Fusce,1
Morbi,2
et,10
mi,6
elementum,2
Vestibulum,3
nisi,2
bibendum,1
augue,3
feugiat,2
cubilia,1
tincidunt,6
In,4
Etiam,1
ultricies,2
blandit,5
Maecenas,3
eleifend,6
sodales,1
odio,2
luctus,3
enim,2
condimentum,2
facilisis,3
curae;,1
Integer,2
imperdiet,1
ullamcorper,2
non,4
Nulla,4
varius,1
quis,7
semper,3
orci,3
consequat,1
rhoncus,4
hendrerit,1
lacus,6
est,4
porta,2
volutpat,1
fames,1
sed,7
tellus,6
nunc,3
Curabitur,1
molestie,1
hac,1
pellentesque,3
tempor,3
dapibus,1
tempus,3
laoreet,2
felis,2
primis,2
efficitur,2
dignissim,2
purus,2
pulvinar,5
cursus,1
erat,1
ornare,6
mollis,2
id,5
porttitor,4
tristique,2
elit,3
ut,7
sollicitudin,4
malesuada,2
maximus,1
adipiscing,1
sapien,7
Nam,1
in,7
lorem,3
mauris,5
gravida,3
venenatis,4
fermentum,3
eget,4
tortor,3
auctor,4
eros,3
fringilla,1
euismod,1
velit,2
ligula,4
sem,4
Nunc,3
justo,3
Proin,3
Nullam,3
quam,1
iaculis,5
posuere,4
vehicula,4
viverra,4
vel,3
lobortis,2
arcu,1
mattis,3
ipsum,6
Phasellus,2
Ut,3
leo,2
ultrices,4
Praesent,2
suscipit,1
finibus,2
platea,1
Lorem,1
consectetur,2
libero,2
rutrum,1
commodo,5
faucibus,3
Mauris,2
ante,6
convallis,1
Pellentesque,4
risus,2
turpis,2
